"rank","seller_id","priority_score","late_delivery_rate","late_rate_norm","score_late_component","canceled_or_unavailable_rate","canceled_rate_norm","score_cancel_component","median_delivery_delay_days","positive_delay_norm","score_delay_component","seller_order_count","volume_exposure_norm","score_volume_component"
95,"7ad32824caee82087b3e2e5f33b1bf32",0.218637574751568,0.142857142857143,0.380952380952381,0.152380952380952,0,0,0,0,0,0,151,0.441710815804102,0.0662566223706153
96,"391fc6631aebcf3004804e51b40bcf1e",0.218431881254802,0.103646833013436,0.276391554702495,0.110556621880998,0,0,0,0,0,0,526,0.719168395825357,0.107875259373803
97,"adbc26658d6c7b4b6219f9d934598091",0.218036940250599,0.159090909090909,0.424242424242424,0.16969696969697,0,0,0,0,0,0,88,0.322266470357526,0.0483399705536289
98,"a17f621c590ea0fab3d5d883e1630ec6",0.215295698457685,0.0793650793650794,0.211640211640212,0.0846560846560847,0.0307692307692308,0.369230769230769,0.0923076923076923,0,0,0,65,0.255546143292717,0.0383319214939076
99,"5b8154610ebb21fb90eb587365e673df",0.214984273939625,0.108108108108108,0.288288288288288,0.115315315315315,0.0263157894736842,0.315789473684211,0.0789473684210526,0,0,0,38,0.138143934688379,0.0207215902032569
100,"e0878efa0e0b7e5313ac0b43bc04c081",0.214758015216515,0.192307692307692,0.512820512820513,0.205128205128205,0,0,0,0,0,0,27,0.0641987339220641,0.00962981008830962
101,"4e922959ae960d389249c378d1c939f5",0.214273983820049,0.106796116504854,0.284789644012945,0.113915857605178,0,0,0,0,0,0,420,0.669054174765808,0.100358126214871
102,"ba143b05f0110f0dc71ad71b4466ce92",0.214260458304739,0.156626506024096,0.417670682730924,0.167068273092369,0,0,0,0,0,0,85,0.314614568082462,0.0471921852123693
103,"16090f2ca825584b5a147ab24aa30c86",0.214138327340262,0.108040201005025,0.288107202680067,0.115242881072027,0,0,0,0,0,0,402,0.659302975121567,0.098895446268235
104,"0cbcee27c791afa0cdcb08587a2013a8",0.21380746550051,0.108108108108108,0.288288288288288,0.115315315315315,0.0256410256410256,0.307692307692308,0.0769230769230769,0,0,0,39,0.143793821747455,0.0215690732621182
105,"1a932caad4f9d804097d7f8e615baed1",0.213333333333333,0.2,0.533333333333333,0.213333333333333,0,0,0,0,0,0,20,0,0
106,"f918546be4bec7104d117789ba758b2b",0.213333333333333,0.2,0.533333333333333,0.213333333333333,0,0,0,0,0,0,20,0,0
107,"45d33f715e24d15a6ccf5c17b3a23e3c",0.213026919727198,0.0714285714285714,0.19047619047619,0.0761904761904762,0.0338983050847458,0.406779661016949,0.101694915254237,0,0,0,59,0.234276855216563,0.0351415282824845
108,"bbad7e518d7af88a0897397ffdca1979",0.212850555808336,0.161764705882353,0.431372549019608,0.172549019607843,0,0,0,0,0,0,69,0.268676908003287,0.0403015362004931
109,"6a51fc556dab5f766ced6fbc860bc613",0.212685951375862,0.0833333333333333,0.222222222222222,0.0888888888888889,0.0384615384615385,0.461538461538462,0.115384615384615,0,0,0,26,0.0560829806823845,0.00841244710235767
110,"cfb1a033743668a192316f3c6d1d2671",0.212578625065023,0.118881118881119,0.317016317016317,0.126806526806527,0.00680272108843537,0.0816326530612245,0.0204081632653061,0,0,0,147,0.435759566621265,0.0653639349931898
111,"11bfa66332777660bd0640ee84d47006",0.211912982043495,0.157894736842105,0.421052631578947,0.168421052631579,0,0,0,0,0,0,76,0.289946196079441,0.0434919294119162
112,"c31eff8334d6b3047ed34bebd4d62c36",0.210281459900051,0.141666666666667,0.377777777777778,0.151111111111111,0,0,0,0,0,0,122,0.394468991926267,0.0591703487889401
113,"d93919c944be9cff128f6c9cb899eacb",0.210068342227853,0.181818181818182,0.484848484848485,0.193939393939394,0,0,0,0,0,0,33,0.10752632192306,0.016128948288459
114,"1900267e848ceeba8fa32d80c1a5f5a8",0.209979602399796,0.103448275862069,0.275862068965517,0.110344827586207,0,0,0,0,0,0,411,0.664231832090595,0.0996347748135892
115,"e9bc59e7b60fc3063eb2290deda4cced",0.209447114969816,0.110047846889952,0.293460925039872,0.117384370015949,0.00462962962962963,0.0555555555555556,0.0138888888888889,0,0,0,216,0.521159040433188,0.0781738560649781
116,"8b28d096634035667e8263d57ba3368c",0.208207582967376,0.115107913669065,0.306954436450839,0.122781774580336,0.00699300699300699,0.0839160839160839,0.020979020979021,0,0,0,143,0.429645249386794,0.0644467874080191
117,"0adac9fbd9a2b63cccaac4f8756c1ca8",0.207992558295389,0.0660377358490566,0.176100628930818,0.070440251572327,0.0272727272727273,0.327272727272727,0.0818181818181818,0,0,0,110,0.371560832699201,0.0557341249048801
118,"70a12e78e608ac31179aea7f8422044b",0.206994125278072,0.108974358974359,0.290598290598291,0.116239316239316,0,0,0,0,0,0,315,0.60503206025837,0.0907548090387554
119,"8b9d6eec4a7eb7d0f9d579ce0b38324d",0.206816312043404,0.166666666666667,0.444444444444444,0.177777777777778,0,0,0,0,0,0,49,0.193590228437505,0.0290385342656257
120,"e99e927c81e3f51739c94fcdfca9f10f",0.20621977362979,0.19047619047619,0.507936507936508,0.203174603174603,0,0,0,0,0,0,22,0.0203011363679097,0.00304517045518645
121,"3d871de0142ce09b7081e2b9d1733cb1",0.20619321940946,0.0592105263157895,0.157894736842105,0.0631578947368421,0.0037037037037037,0.0444444444444444,0.0111111111111111,0,0,0,1080,0.879494757076711,0.131924213561507
122,"218d46b86c1881d022bce9c68a7d4b15",0.2059674250399,0.0942408376963351,0.25130890052356,0.100523560209424,0.00257731958762887,0.0309278350515464,0.0077319587628866,0,0,0,388,0.65141270711726,0.0977119060675891
123,"634964b17796e64304cadf1ad3050fb7",0.205237771399735,0.10188679245283,0.271698113207547,0.108679245283019,0.00373134328358209,0.0447761194029851,0.0111940298507463,0,0,0,268,0.56909664177313,0.0853644962659695
